E0, Erec, Ee', pex, pey, pez, Ep, ppx, ppy, ppz 
1.54317,1.50171,1.33694,-0.0981075,-0.465585,1.24941,1.10304,0.0298274,0.497689,0.296247
1.9129,1.4497,1.22093,-0.00273123,-0.382066,1.15961,1.16704,0.157404,0.315269,0.597884
1.99703,1.81878,1.72191,-0.524937,0.179014,1.63014,1.03514,-0.0323173,-0.0942919,0.42571
2.001,1.95998,1.81905,-0.288924,0.455383,1.73727,1.0792,0.24248,-0.423265,0.215308
1.6292,1.33451,1.2175,-0.117888,-0.321098,1.16846,1.05528,-0.2859,-0.20666,0.329878
4.71597,4.67425,3.94436,0.973222,0.344376,3.80687,1.66816,-1.02085,-0.418506,0.827715
1.37421,1.33183,1.20417,-0.284986,0.239977,1.14508,1.06594,0.261979,-0.236771,0.362184
1.58243,1.5402,1.32294,0.55688,0.143972,1.19135,1.15553,-0.615232,-0.125454,0.246269
1.23781,1.1964,1.1354,0.177972,-0.23851,1.09571,0.999267,-0.224043,0.228665,0.125289
1.9069,1.57651,1.45575,0.353938,0.184958,1.3999,1.05904,-0.214102,0.275376,0.345747
2.18292,1.51051,1.19436,0.262215,-0.28239,1.13048,1.25442,0.300646,-0.196711,0.751081
1.61435,1.57157,1.3834,-0.289682,0.3229,1.31363,1.12644,0.272339,-0.319395,0.460785
3.48529,2.73262,2.47684,0.579865,-0.277883,2.39192,1.19406,0.12815,-0.400241,0.607291
1.23019,1.18841,1.13013,-0.250036,-0.175075,1.08813,0.996556,0.182045,0.249105,0.13257
1.31065,1.26839,1.11321,0.203566,-0.33554,1.04173,1.09346,-0.17795,0.365567,0.387289
1.35169,1.30913,1.21688,-0.0706242,-0.335685,1.16753,1.03052,-0.0739901,0.36057,0.214793
2.10576,1.49974,1.24876,0.322457,0.347877,1.15517,1.18925,-0.0908313,-0.28029,0.668693
1.89037,1.71852,1.64774,0.117578,0.469477,1.57506,1.00905,-0.241386,-0.113714,0.258115
1.84965,1.80721,1.60982,-0.441972,-0.109163,1.54411,1.13566,0.552455,0.185726,0.26397
1.93342,1.81524,1.69341,0.0245197,-0.609553,1.57971,1.0601,-0.234017,0.0865211,0.425681
2.52574,2.47397,2.35431,0.260841,-0.555332,2.27296,1.05793,-0.376597,0.236419,0.20286
4.6631,4.30403,3.63906,1.02149,0.408472,3.46879,1.60324,-1.02503,-0.417099,0.682176
1.35793,1.31646,1.25869,0.350334,-0.123164,1.20266,0.996045,-0.275082,0.0411912,0.18543
1.31982,1.27751,1.21411,0.254096,-0.277011,1.15446,1.00167,-0.274037,0.218424,0.0137065
1.34521,1.30241,1.17895,-0.429964,0.187003,1.08171,1.06173,0.284959,-0.148135,0.379165
1.83921,1.79822,1.68351,-0.416716,-0.213598,1.61708,1.05298,0.391231,0.176189,0.210481
2.30192,1.6912,1.56478,0.0880707,0.491612,1.48294,1.06469,-0.127179,-0.0649832,0.482501
2.58101,2.14235,2.069,-0.523451,0.278902,1.98216,1.01162,0.219679,-0.16092,0.262434
4.26075,3.22034,2.57854,-0.203759,0.648432,2.48735,1.58006,0.330979,-0.722077,0.992624
1.40357,1.36185,1.24946,0.351094,0.0336631,1.19864,1.05066,-0.401747,-0.079664,0.236202
1.328,1.28696,1.23802,-0.0186931,-0.341808,1.18975,0.987214,0.0465309,0.276451,0.125086
1.86262,1.82054,1.59365,-0.153657,-0.581033,1.47598,1.16517,0.00605602,0.581397,0.373099
